Country,QoLI,PPI,SI,HCI,CoLI,PPIR,TCTI,PI,CI
Luxembourg,207.3,148.9,65.6,76.3,65.3,9.1,26.1,21.8,82.6
Netherlands,198.5,103.3,73.7,78.9,64.3,7.4,23.7,21.8,87.1
Iceland,194.9,109.1,74.6,67.1,85.7,5.6,21.9,15.8,68.8
Denmark,193.6,103.3,73.7,78.0,75.2,6.8,28.7,21.9,82.5
Finland,190.4,97.3,73.7,77.3,65.5,8.3,26.0,12.0,58.9
Oman,187.0,109.6,81.0,61.0,44.4,3.1,21.9,38.4,67.2
Switzerland,186.7,118.9,74.7,72.6,112.2,11.1,33.1,22.2,79.2
Norway,184.2,94.9,67.4,75.7,79.2,7.8,26.8,18.6,71.4
Austria,181.5,84.4,70.7,76.6,66.8,11.0,24.1,21.8,77.8
Estonia,180.1,69.0,76.2,76.3,53.0,10.2,21.8,16.7,64.3
Japan,177.6,99.5,77.4,79.3,50.7,10.0,40.2,38.6,84.8
Germany,176.5,101.0,61.1,71.7,62.7,9.8,30.3,29.2,82.7
